Waypoint,路線名稱,里程(公里),路線編號,總里程,里程,地標名稱,路線分段,分段第一行,分段第二行,緯度(DD),緯度,經度(DD),經度,東距,北距
0.6K,阿玉山山徑,0.6,,30,6,,,登山口(00)➡撤退嶺(09)⇨,東西阿玉山叉路(26)⇨阿玉山(30),24.774504,"24°46'28""",121.610371,"121°36'37""",311724,2740939
0.7K,阿玉山山徑,0.7,,30,7,,,登山口(00)➡撤退嶺(09)⇨,東西阿玉山叉路(26)⇨阿玉山(30),24.774889,"24°46'30""",121.609559,"121°36'34""",311641,2740982
0.8K,阿玉山山徑,0.8,,30,8,,,登山口(00)➡撤退嶺(09)⇨,東西阿玉山叉路(26)⇨阿玉山(30),24.775263,"24°46'31""",121.608881,"121°36'32""",311573,2741023
0.9K,阿玉山山徑,0.9,,30,9,撤退嶺,,登山口(00)⇨撤退嶺(09)➡,東西阿玉山叉路(26)⇨阿玉山(30),24.775906,"24°46'33""",121.608649,"121°36'31""",311543 ,2741095 
1.0K,阿玉山山徑,1,,30,10,,,登山口(00)⇨撤退嶺(09)➡,東西阿玉山叉路(26)⇨阿玉山(30),24.776823,"24°46'37""",121.60798,"121°36'29""",311481,2741195
1.1K,阿玉山山徑,1.1,,30,11,,,登山口(00)⇨撤退嶺(09)➡,東西阿玉山叉路(26)⇨阿玉山(30),24.777535,"24°46'39""",121.607833,"121°36'28""",311465,2741274
1.2K,阿玉山山徑,1.2,,30,12,,,登山口(00)⇨撤退嶺(09)➡,東西阿玉山叉路(26)⇨阿玉山(30),24.778219,"24°46'42""",121.607564,"121°36'27""",311438,2741350
1.3K,阿玉山山徑,1.3,,30,13,,,登山口(00)⇨撤退嶺(09)➡,東西阿玉山叉路(26)⇨阿玉山(30),24.77909,"24°46'45""",121.607525,"121°36'27""",311434,2741446
1.4K,阿玉山山徑,1.4,,30,14,,,登山口(00)⇨撤退嶺(09)➡,東西阿玉山叉路(26)⇨阿玉山(30),24.779902,"24°46'48""",121.607976,"121°36'29""",311479,2741536
1.5K,阿玉山山徑,1.5,,30,15,,,登山口(00)⇨撤退嶺(09)➡,東西阿玉山叉路(26)⇨阿玉山(30),24.780573,"24°46'50""",121.607976,"121°36'29""",311478,2741611
1.6K,阿玉山山徑,1.6,,30,16,,,登山口(00)⇨撤退嶺(09)➡,東西阿玉山叉路(26)⇨阿玉山(30),24.78118,"24°46'52""",121.607485,"121°36'27""",311428,2741678
1.7K,阿玉山山徑,1.7,,30,17,,,登山口(00)⇨撤退嶺(09)➡,東西阿玉山叉路(26)⇨阿玉山(30),24.78203,"24°46'55""",121.607134,"121°36'26""",311393,2741772
1.8K,阿玉山山徑,1.8,,30,18,,,登山口(00)⇨撤退嶺(09)➡,東西阿玉山叉路(26)⇨阿玉山(30),24.782926,"24°46'59""",121.607059,"121°36'25""",311385,2741871
1.9K,阿玉山山徑,1.9,,30,19,,,登山口(00)⇨撤退嶺(09)➡,東西阿玉山叉路(26)⇨阿玉山(30),24.783735,"24°47'1""",121.606956,"121°36'25""",311374,2741960
2.0K,阿玉山山徑,2,,30,20,,,登山口(00)⇨撤退嶺(09)➡,東西阿玉山叉路(26)⇨阿玉山(30),24.784529,"24°47'4""",121.607057,"121°36'25""",311384,2742048
2.1K,阿玉山山徑,2.1,,30,21,,,登山口(00)⇨撤退嶺(09)➡,東西阿玉山叉路(26)⇨阿玉山(30),24.785334,"24°47'7""",121.607017,"121°36'25""",311379,2742137
2.2K,阿玉山山徑,2.2,,30,22,,,登山口(00)⇨撤退嶺(09)➡,東西阿玉山叉路(26)⇨阿玉山(30),24.786058,"24°47'10""",121.607173,"121°36'26""",311394,2742218
2.3K,阿玉山山徑,2.3,,30,23,,,登山口(00)⇨撤退嶺(09)➡,東西阿玉山叉路(26)⇨阿玉山(30),24.786789,"24°47'12""",121.607087,"121°36'26""",311385,2742299
2.4K,阿玉山山徑,2.4,,30,24,,,登山口(00)⇨撤退嶺(09)➡,東西阿玉山叉路(26)⇨阿玉山(30),24.787535,"24°47'15""",121.606693,"121°36'24""",311345,2742381
2.5K,阿玉山山徑,2.5,,30,25,,,登山口(00)⇨撤退嶺(09)➡,東西阿玉山叉路(26)⇨阿玉山(30),24.788266,"24°47'18""",121.606191,"121°36'22""",311294,2742462
2.6K,阿玉山山徑,2.6,,30,26,東西阿玉山叉路,,登山口(00)⇨撤退嶺(09)⇨,東西阿玉山叉路(26)➡阿玉山(30),24.789416,"24°47'22""",121.60586,"121°36'21""",311275 ,2742592 
2.7K,阿玉山山徑,2.7,,30,27,,,登山口(00)⇨撤退嶺(09)⇨,東西阿玉山叉路(26)➡阿玉山(30),24.789673,"24°47'23""",121.605349,"121°36'19""",311208,2742617
2.8K,阿玉山山徑,2.8,,30,28,,,登山口(00)⇨撤退嶺(09)⇨,東西阿玉山叉路(26)➡阿玉山(30),24.789683,"24°47'23""",121.604398,"121°36'16""",311112,2742618
2.9K,阿玉山山徑,2.9,,30,29,,,登山口(00)⇨撤退嶺(09)⇨,東西阿玉山叉路(26)➡阿玉山(30),24.789961,"24°47'24""",121.603454,"121°36'12""",311017,2742648
3.0K,阿玉山山徑,3,,30,30,阿玉山,,登山口(00)⇨撤退嶺(09)⇨,東西阿玉山叉路(26)⇨阿玉山(30),24.789436,"24°47'22""",121.602753,"121°36'10""",310946,2742590
,阿玉山山徑,,,,,,,,,,,,,,
,阿玉山山徑,,,,,,,,,,,,,,
,阿玉山山徑,,,,,,,,,,,,,,
,阿玉山山徑,,,,,,,,,,,,,,
,阿玉山山徑,,,,,,,,,,,,,,
,阿玉山山徑,,,,,,,,,,,,,,
,阿玉山山徑,,,,,,,,,,,,,,
,阿玉山山徑,,,,,,,,,,,,,,
,阿玉山山徑,,,,,,,,,,,,,,
,阿玉山山徑,,,,,,,,,,,,,,
,阿玉山山徑,,,,,,,,,,,,,,
,阿玉山山徑,,,,,,,,,,,,,,
,阿玉山山徑,,,,,,,,,,,,,,
,阿玉山山徑,,,,,,,,,,,,,,
,阿玉山山徑,,,,,,,,,,,,,,
,阿玉山山徑,,,,,,,,,,,,,,
,阿玉山山徑,,,,,,,,,,,,,,
,阿玉山山徑,,,,,,,,,,,,,,
